Start log at 2021-11-23 20:18:08.128410
Board is 11x11.
No,Player,X,Y,Time
1,DefaultAgent2,2,10,0
2,DefaultAgent1,9,0,0
3,DefaultAgent2,3,6,0
4,DefaultAgent1,0,7,0
5,DefaultAgent2,7,5,0
6,DefaultAgent1,8,9,0
7,DefaultAgent2,10,4,0
8,DefaultAgent1,5,1,0
9,DefaultAgent2,3,7,0
10,DefaultAgent1,1,10,0
11,DefaultAgent2,5,0,0
12,DefaultAgent1,4,6,0
13,DefaultAgent2,1,3,0
14,DefaultAgent1,7,2,0
15,DefaultAgent2,2,6,0
16,DefaultAgent1,1,7,0
17,DefaultAgent2,7,9,0
18,DefaultAgent1,0,3,0
19,DefaultAgent2,5,10,0
20,DefaultAgent1,1,5,0
21,DefaultAgent2,2,2,0
22,DefaultAgent1,2,9,0
23,DefaultAgent2,2,8,0
24,DefaultAgent1,0,4,0
25,DefaultAgent2,3,0,0
26,DefaultAgent1,0,6,0
27,DefaultAgent2,4,0,0
28,DefaultAgent1,4,2,0
29,DefaultAgent2,5,2,0
30,DefaultAgent1,4,3,0
31,DefaultAgent2,4,5,0
32,DefaultAgent1,9,5,0
33,DefaultAgent2,4,8,0
34,DefaultAgent1,6,2,0
35,DefaultAgent2,8,4,0
36,DefaultAgent1,8,10,0
37,DefaultAgent2,5,9,0
38,DefaultAgent1,8,7,0
39,DefaultAgent2,10,6,0
40,DefaultAgent1,0,1,0
41,DefaultAgent2,10,9,0
42,DefaultAgent1,3,4,0
43,DefaultAgent2,4,9,0
44,DefaultAgent1,9,9,0
45,DefaultAgent2,9,8,0
46,DefaultAgent1,4,4,0
47,DefaultAgent2,2,5,0
48,DefaultAgent1,4,1,0
49,DefaultAgent2,2,1,0
50,DefaultAgent1,0,10,0
51,DefaultAgent2,1,1,0
52,DefaultAgent1,6,6,0
53,DefaultAgent2,0,9,0
54,DefaultAgent1,6,5,0
55,DefaultAgent2,1,9,0
56,DefaultAgent1,10,2,0
57,DefaultAgent2,8,3,0
58,DefaultAgent1,0,2,0
59,DefaultAgent2,6,8,0
60,DefaultAgent1,7,4,0
61,DefaultAgent2,9,6,0
62,DefaultAgent1,8,0,0
63,DefaultAgent2,10,7,0
64,DefaultAgent1,5,5,0
65,DefaultAgent2,4,10,0
66,DefaultAgent1,3,3,0
67,DefaultAgent2,8,6,0
68,DefaultAgent1,2,0,0
69,DefaultAgent2,6,4,0
70,DefaultAgent1,9,4,0
71,DefaultAgent2,2,7,0
72,DefaultAgent1,0,5,0
73,DefaultAgent2,10,1,0
74,DefaultAgent1,8,8,0
75,DefaultAgent2,9,1,0
76,DefaultAgent1,5,4,0
77,DefaultAgent2,7,10,0
78,DefaultAgent1,3,5,0
79,DefaultAgent2,0,8,0
80,DefaultAgent1,7,6,0
81,DefaultAgent2,4,7,0
82,DefaultAgent1,3,8,0
83,DefaultAgent2,3,1,0
84,DefaultAgent1,9,10,0
85,DefaultAgent2,8,5,0
86,DefaultAgent1,2,3,0
87,DefaultAgent2,3,2,0
88,DefaultAgent1,10,0,0
89,DefaultAgent2,9,7,0
90,DefaultAgent1,10,3,0
91,DefaultAgent2,1,8,0
92,DefaultAgent1,10,8,0
93,DefaultAgent2,1,4,0
94,DefaultAgent1,1,0,0
95,DefaultAgent2,7,3,0
96,DefaultAgent1,3,10,0
97,DefaultAgent2,5,3,0
98,DefaultAgent1,5,8,0
99,DefaultAgent2,7,7,0
0,DefaultAgent2,End,Win,False
0,Total,99,124918500,1261803
0,DefaultAgent2,50,0,0
0,DefaultAgent1,49,0,0

